0	0.2	0	
0.01	0.19337	-1.31852	
0.02	0.173922	-2.54962	
0.03	0.142944	-3.6117	
0.04	0.10249	-4.43435	
0.05	0.0552415	-4.96303	
0.06	0.00433141	-5.1627	
0.07	-0.0468656	-5.02012	
0.08	-0.0949555	-4.54475	
0.09	-0.13675	-3.7681	
0.1	-0.16948	-2.74165	
0.11	-0.190974	-1.53346	
0.12	-0.199807	-0.223618	
0.13	-0.195396	1.10104	
0.14	-0.17803	2.35271	
0.15	-0.148863	3.4484	
0.16	-0.109828	4.31549	
0.17	-0.063512	4.89649	
0.18	-0.0129858	5.15289	
0.19	0.038401	5.06769	
0.2	0.087242	4.64655	
0.21	0.130299	3.91737	
0.22	0.164718	2.92851	
0.23	0.188218	1.74551	
0.24	0.19924	0.446805	
0.25	0.197054	-0.881515	
0.26	0.181805	-2.15139	
0.27	0.154504	-3.27864	
0.28	0.11696	-4.18854	
0.29	0.0716629	-4.82077	
0.3	0.0216154	-5.13341	
0.31	-0.0298649	-5.10575	
0.32	-0.0793651	-4.73962	
0.33	-0.123604	-4.05929	
0.34	-0.159648	-3.10986	
0.35	-0.185109	-1.95427	
0.36	-0.198299	-0.669143	
0.37	-0.198343	0.660342	
0.38	-0.185238	1.94605	
0.39	-0.159854	3.10274	
0.4	-0.123872	4.05374	
0.41	-0.079679	4.736	
0.42	-0.030204	5.1043	
0.43	0.0212731	5.13423	
0.44	0.0713397	4.82379	
0.45	0.116677	4.19358	
0.46	0.154279	3.28537	
0.47	0.181654	2.15936	
0.48	0.196986	0.890215	
0.49	0.199259	-0.437942	
0.5	0.188324	-1.73706	
0.51	0.164903	-2.92102	
0.52	0.130552	-3.91134	
0.53	0.0875452	-4.64235	
0.54	0.0387355	-5.06562	
0.55	-0.0126418	-5.15307	
0.56	-0.0631809	-4.89891	
0.57	-0.109531	-4.32	
0.58	-0.148621	-3.4547	
0.59	-0.177857	-2.36039	
0.6	-0.195303	-1.10961	
0.61	-0.199802	0.21473	
0.62	-0.191056	1.52483	
0.63	-0.169644	2.73383	
0.64	-0.136986	3.7616	
0.65	-0.0952468	4.54	
0.66	-0.0471939	5.01743	
0.67	0.00398729	5.16225	
0.68	0.054904	4.96484	
0.69	0.102181	4.43831	
0.7	0.142684	3.61755	
0.71	0.173727	2.55698	
0.72	0.193254	1.3269	
0.73	0.19997	0.00887305	
0.74	0.193429	-1.30974	
0.75	0.174065	-2.54152	
0.76	0.143163	-3.60482	
0.77	0.102769	-4.42914	
0.78	0.0555634	-4.95984	
0.79	0.00467432	-5.16173	
0.8	-0.0465244	-5.02145	
0.81	-0.0946388	-4.54828	
0.82	-0.136479	-3.7736	
0.83	-0.169272	-2.74876	
0.84	-0.190843	-1.5417	
0.85	-0.199763	-0.232449	
0.86	-0.195439	1.09221	
0.87	-0.17816	2.34446	
0.88	-0.14907	3.44128	
0.89	-0.110099	4.30997	
0.9	-0.0638283	4.89294	
0.91	-0.0133267	5.15154	
0.92	0.038058	5.06863	
0.93	0.0869196	4.64972	
0.94	0.130019	3.92256	
0.95	0.164499	2.93537	
0.96	0.188074	1.7536	
0.97	0.19918	0.455577	
0.98	0.197083	-0.87264	
0.99	0.181921	-2.143	
