0 1
0.00125 0.999948
0.0025 0.999792
0.00375 0.999531
0.005 0.999167
0.00625 0.998698
0.0075 0.998126
0.00875 0.997449
0.01 0.996669
0.01125 0.995784
0.0125 0.994796
0.01375 0.993705
0.015 0.992509
0.01625 0.991211
0.0175 0.989809
0.01875 0.988304
0.02 0.986696
0.02125 0.984986
0.0225 0.983172
0.02375 0.981257
0.025 0.979239
0.02625 0.977119
0.0275 0.974897
0.02875 0.972574
0.03 0.97015
0.03125 0.967624
0.0325 0.964998
0.03375 0.962271
0.035 0.959444
0.03625 0.956517
0.0375 0.95349
0.03875 0.950364
0.04 0.947139
0.04125 0.943815
0.0425 0.940393
0.04375 0.936873
0.045 0.933256
0.04625 0.929541
0.0475 0.92573
0.04875 0.921822
0.05 0.917818
0.05125 0.913718
0.0525 0.909523
0.05375 0.905234
0.055 0.90085
0.05625 0.896372
0.0575 0.891801
0.05875 0.887137
0.06 0.882381
0.06125 0.877533
0.0625 0.872593
0.06375 0.867562
0.065 0.862441
0.06625 0.857231
0.0675 0.851931
0.06875 0.846542
0.07 0.841065
0.07125 0.8355
0.0725 0.829849
0.07375 0.824111
0.075 0.818287
0.07625 0.812377
0.0775 0.806384
0.07875 0.800306
0.08 0.794145
0.08125 0.787901
0.0825 0.781575
0.08375 0.775168
0.085 0.76868
0.08625 0.762111
0.0875 0.755464
0.08875 0.748738
0.09 0.741933
0.09125 0.735052
0.0925 0.728094
0.09375 0.72106
0.095 0.713951
0.09625 0.706767
0.0975 0.69951
0.09875 0.692181
0.1 0.684779
0.10125 0.677305
0.1025 0.669761
0.10375 0.662148
0.105 0.654465
0.10625 0.646714
0.1075 0.638896
0.10875 0.631011
0.11 0.623061
0.11125 0.615046
0.1125 0.606966
0.11375 0.598824
0.115 0.590619
0.11625 0.582352
0.1175 0.574025
0.11875 0.565638
0.12 0.557192
0.12125 0.548688
0.1225 0.540127
0.12375 0.53151
0.125 0.522837
0.12625 0.51411
0.1275 0.505329
0.12875 0.496496
0.13 0.487611
0.13125 0.478675
0.1325 0.469689
0.13375 0.460654
0.135 0.451572
0.13625 0.442442
0.1375 0.433266
0.13875 0.424045
0.14 0.41478
0.14125 0.405472
0.1425 0.396121
0.14375 0.386729
0.145 0.377297
0.14625 0.367826
0.1475 0.358316
0.14875 0.348769
0.15 0.339186
0.15125 0.329567
0.1525 0.319914
0.15375 0.310228
0.155 0.300509
0.15625 0.290759
0.1575 0.280979
0.15875 0.27117
0.16 0.261332
0.16125 0.251467
0.1625 0.241576
0.16375 0.231659
0.165 0.221719
0.16625 0.211755
0.1675 0.20177
0.16875 0.191763
0.17 0.181737
0.17125 0.171691
0.1725 0.161628
0.17375 0.151547
0.175 0.141451
0.17625 0.131341
0.1775 0.121216
0.17875 0.111079
0.18 0.10093
0.18125 0.0907712
0.1825 0.0806025
0.18375 0.0704255
0.185 0.0602412
0.18625 0.0500505
0.1875 0.0398547
0.18875 0.0296547
0.19 0.0194516
0.19125 0.00924648
0.1925 -0.000959591
0.19375 -0.0111656
0.195 -0.0213704
0.19625 -0.031573
0.1975 -0.0417723
0.19875 -0.0519672
0.2 -0.0621567
0.20125 -0.0723398
0.2025 -0.0825153
0.20375 -0.0926823
0.205 -0.10284
0.20625 -0.112986
0.2075 -0.123121
0.20875 -0.133243
0.21 -0.143351
0.21125 -0.153444
0.2125 -0.163521
0.21375 -0.173581
0.215 -0.183623
0.21625 -0.193646
0.2175 -0.203649
0.21875 -0.213631
0.22 -0.22359
0.22125 -0.233526
0.2225 -0.243438
0.22375 -0.253324
0.225 -0.263184
0.22625 -0.273016
0.2275 -0.282821
0.22875 -0.292595
0.23 -0.302339
0.23125 -0.312052
0.2325 -0.321732
0.23375 -0.331379
0.235 -0.340991
0.23625 -0.350567
0.2375 -0.360107
0.23875 -0.36961
0.24 -0.379074
0.24125 -0.388499
0.2425 -0.397883
0.24375 -0.407225
0.245 -0.416526
0.24625 -0.425782
0.2475 -0.434995
0.24875 -0.444162
0.25 -0.453283
0.25125 -0.462357
0.2525 -0.471382
0.25375 -0.480359
0.255 -0.489285
0.25625 -0.498161
0.2575 -0.506984
0.25875 -0.515755
0.26 -0.524472
0.26125 -0.533134
0.2625 -0.541741
0.26375 -0.550292
0.265 -0.558785
0.26625 -0.56722
0.2675 -0.575595
0.26875 -0.583911
0.27 -0.592166
0.27125 -0.60036
0.2725 -0.60849
0.27375 -0.616558
0.275 -0.624561
0.27625 -0.632499
0.2775 -0.640371
0.27875 -0.648177
0.28 -0.655915
0.28125 -0.663585
0.2825 -0.671185
0.28375 -0.678716
0.285 -0.686176
0.28625 -0.693564
0.2875 -0.700881
0.28875 -0.708124
0.29 -0.715293
0.29125 -0.722388
0.2925 -0.729408
0.29375 -0.736352
0.295 -0.743219
0.29625 -0.750008
0.2975 -0.75672
0.29875 -0.763353
0.3 -0.769906
0.30125 -0.776379
0.3025 -0.782771
0.30375 -0.789081
0.305 -0.79531
0.30625 -0.801455
0.3075 -0.807517
0.30875 -0.813495
0.31 -0.819388
0.31125 -0.825196
0.3125 -0.830918
0.31375 -0.836553
0.315 -0.842101
0.31625 -0.847562
0.3175 -0.852934
0.31875 -0.858217
0.32 -0.863411
0.32125 -0.868515
0.3225 -0.873529
0.32375 -0.878451
0.325 -0.883282
0.32625 -0.888021
0.3275 -0.892668
0.32875 -0.897221
0.33 -0.901681
0.33125 -0.906048
0.3325 -0.910319
0.33375 -0.914496
0.335 -0.918578
0.33625 -0.922564
0.3375 -0.926454
0.33875 -0.930247
0.34 -0.933944
