1.0025 0.0175
1.00501 0.0350367
1.00754 0.0526089
1.01009 0.0702151
1.01265 0.087854
1.01523 0.105524
1.01784 0.123225
1.02046 0.140955
1.02311 0.158712
1.02579 0.176496
1.0285 0.194305
1.03124 0.212138
1.03401 0.229994
1.03681 0.247872
1.03965 0.26577
1.04252 0.283688
1.04543 0.301625
1.04839 0.319579
1.05139 0.337549
1.05443 0.355535
1.05752 0.373536
1.06065 0.39155
1.06384 0.409576
1.06708 0.427614
1.07037 0.445663
1.07372 0.463722
1.07712 0.481791
1.08059 0.499867
1.08412 0.517951
1.08771 0.536042
1.09137 0.55414
1.09509 0.572243
1.09888 0.59035
1.10275 0.608462
1.10669 0.626578
1.1107 0.644697
1.1148 0.662818
1.11897 0.680942
1.12322 0.699067
1.12756 0.717194
1.13199 0.735321
1.1365 0.753449
1.1411 0.771578
1.14579 0.789706
1.15058 0.807834
1.15546 0.825961
1.16045 0.844087
1.16553 0.862213
1.17072 0.880337
1.17601 0.89846
1.18141 0.916583
1.18691 0.934703
1.19253 0.952823
1.19826 0.970941
1.20411 0.989058
1.21008 1.00717
1.21617 1.02529
1.22237 1.0434
1.22871 1.06152
1.23517 1.07963
1.24176 1.09775
1.24848 1.11586
1.25534 1.13397
1.26233 1.15209
1.26946 1.17021
1.27673 1.18832
1.28414 1.20644
1.2917 1.22457
1.29941 1.24269
1.30727 1.26082
1.31528 1.27896
1.32344 1.2971
1.33177 1.31524
1.34025 1.3334
1.3489 1.35156
1.35771 1.36972
1.36669 1.3879
1.37583 1.40608
1.38516 1.42428
1.39465 1.44248
1.40433 1.4607
1.41418 1.47893
1.42422 1.49718
1.43445 1.51544
1.44486 1.53371
1.45547 1.552
1.46627 1.57031
1.47726 1.58864
1.48846 1.60699
1.49986 1.62536
1.51146 1.64376
1.52327 1.66217
1.5353 1.68062
1.54753 1.69908
1.55999 1.71758
1.57266 1.7361
1.58556 1.75466
1.59869 1.77325
1.61204 1.79186
1.62563 1.81052
1.63945 1.82921
1.65351 1.84793
1.66782 1.8667
1.68237 1.88551
1.69717 1.90435
1.71222 1.92324
1.72753 1.94218
1.7431 1.96116
1.75893 1.98019
1.77502 1.99928
1.79139 2.01841
1.80803 2.03759
1.82495 2.05683
1.84216 2.07613
1.85964 2.09549
1.87742 2.11491
1.89549 2.13439
1.91385 2.15393
1.93252 2.17354
1.95149 2.19322
1.97078 2.21296
1.99037 2.23278
2.01029 2.25267
2.03053 2.27264
2.05109 2.29269
2.07199 2.31281
2.09322 2.33302
2.1148 2.35331
2.13671 2.37369
2.15898 2.39415
2.18161 2.41471
2.20459 2.43535
2.22794 2.4561
2.25166 2.47693
2.27576 2.49787
2.30024 2.51891
2.3251 2.54005
2.35036 2.5613
2.37601 2.58265
2.40206 2.60412
2.42853 2.62569
2.45541 2.64739
2.48271 2.6692
2.51043 2.69112
2.53859 2.71318
2.56718 2.73535
2.59623 2.75765
2.62572 2.78009
2.65567 2.80265
2.68608 2.82535
2.71697 2.84818
2.74834 2.87116
2.78019 2.89427
2.81253 2.91753
2.84537 2.94094
